artist,album,title,time
Rainbow Kitten Surprise,How To: Friend Love Freefall,It's Called: Freefall,
Habe,Self Discovery,Self Discovery,11 Apr 2024 18:54
Chet Faker,Hotel Surrender,Get High,11 Apr 2024 18:50
szymon,Blue Coloured Mountain,Come Back Home,11 Apr 2024 18:48
Leif Erikson,When Love Rings,When Love Rings,11 Apr 2024 18:14
Two Door Cinema Club,Tourist History,Undercover Martyn,11 Apr 2024 18:11
TV Girl,French Exit,Birds Dont Sing,11 Apr 2024 18:08
Jadu Heart,Hyper Romance,Walk The Line,11 Apr 2024 15:53
Chelou,Real,Wayward,11 Apr 2024 15:50
Mild Orange,Getting Warmer,Getting Warmer,11 Apr 2024 15:45
Chelou,Real,Wayward,11 Apr 2024 15:41
Generationals,Heza,Put a Light On,11 Apr 2024 15:39
Local Natives,Sunlit Youth,Dark Days,11 Apr 2024 14:54
ODESZA,Flaws in Our Design,Dissolved in a Daydream,11 Apr 2024 14:53
Big Wild,Invincible EP,When I Get There,11 Apr 2024 14:49
disco lines,Restless Bones,Restless Bones,11 Apr 2024 14:47
Tim Atlas,All Talk! (Remixes),Figure A - NASAYA Remix,11 Apr 2024 14:43
Koastle,Stay Close,Stay Close,11 Apr 2024 14:41
Lorde,Tennis Court (Flume Remix),Tennis Court - Flume Remix,11 Apr 2024 14:35
Big Wild,Superdream,No Words,11 Apr 2024 14:31
ODESZA,Heavier,Heavier,11 Apr 2024 14:27
ODESZA,My Friends Never Die,Without You,11 Apr 2024 14:24
Goth Babe,Casita,Casita,11 Apr 2024 14:20
RIZ LA VIE,Little Planets - Remix,Little Planets - Remix,11 Apr 2024 14:16
ODESZA,Flaws in Our Design,Easy Money,11 Apr 2024 14:13
Miracle Musical,Hawaii: Part II,Dream Sweet in Sea Major,11 Apr 2024 04:57
Miracle Musical,Hawaii: Part II,Dream Sweet in Sea Major,11 Apr 2024 04:52
Miracle Musical,Hawaii: Part II,Dream Sweet in Sea Major,11 Apr 2024 04:42
Vundabar,Gawk,Alien Blues,11 Apr 2024 04:39
A$AP Rocky,AT.LONG.LAST.A$AP,L$D,11 Apr 2024 04:34
Pretty Lights,A Color Map of the Sun (Remixes),One Day They'll Know (ODESZA Remix),11 Apr 2024 04:28
Surf Curse,Freaks,Freaks,11 Apr 2024 04:26
Sylvan Esso,Sylvan Esso,Hey Mami,11 Apr 2024 04:23
jev.,the color grey.,and then i got revenge.,11 Apr 2024 04:21
Big Wild,Superdream,6's to 9's,11 Apr 2024 04:17
Portugal. The Man,Woodstock,Feel It Still,11 Apr 2024 04:15
VACATIONS,Changes,Telephones,11 Apr 2024 04:12
Tyler the Creator,Flower Boy,See You Again (feat. Kali Uchis),11 Apr 2024 04:09
Glass Animals,ZABA,Toes,11 Apr 2024 04:05
Cults,Static,Always Forever,11 Apr 2024 04:01
Flume,Skin,When Everything Was New,11 Apr 2024 03:58
alt-J,An Awesome Wave,Matilda,11 Apr 2024 03:55
Surf Curse,Freaks,Freaks,11 Apr 2024 03:52
Pretty Lights,A Color Map of the Sun (Remixes),One Day They'll Know (ODESZA Remix),11 Apr 2024 03:48
Sylvan Esso,Sylvan Esso,Hey Mami,11 Apr 2024 03:43
jev.,the color grey.,grey.,11 Apr 2024 03:40
Glass Animals,Dreamland,Dreamland,11 Apr 2024 03:36
Houndmouth,Little Neon Limelight,Sedona,11 Apr 2024 03:31
STRFKR,Being No One Going Nowhere,Open Your Eyes,11 Apr 2024 03:27
Vance Joy,Nation of Two,Saturday Sun,11 Apr 2024 03:23
The Revivalists,Men Amongst Mountains,Wish I Knew You,11 Apr 2024 03:18
Hozier,Wasteland Baby!,Almost (Sweet Music),11 Apr 2024 03:14
ODESZA,A Moment Apart,Across The Room,11 Apr 2024 03:09
Mushroom People,LOWWS,LOWWS,11 Apr 2024 01:04
ASL,Beach House,Cinnamon Girl,11 Apr 2024 01:00
okaywill,Falling for You,the journey,11 Apr 2024 00:57
Smeyeul.,Boyfriend,Boyfriend,11 Apr 2024 00:54
Sure Sure,What's It Like?,Warm Animal,11 Apr 2024 00:50
RIZ LA VIE,Keep.,Stay,11 Apr 2024 00:46
More Giraffes,Playground,Playground,11 Apr 2024 00:43
Opia,Beverly Blues,Beverly Blues,10 Apr 2024 23:51
Leo The Kind,Chaotic Good,Windows,10 Apr 2024 23:48
Lostboycrow,Santa Fe,Orange Juice,10 Apr 2024 23:45
White Cliffs,Brace Yourself,Brace Yourself,10 Apr 2024 23:41
Big Wild,Superdream,Purple Sand (My Home),10 Apr 2024 23:36
IHF,Floating EP,Clouds,10 Apr 2024 19:16
Durand Jones & The Indications,American Love Call,Sea Gets Hotter,10 Apr 2024 19:13
orion sun,dirty dancer,dirty dancer,10 Apr 2024 19:07
KAMAUU,MANGO (feat. Adi Oasis),MANGO (feat. Adi Oasis),10 Apr 2024 19:02
Pale Jay,The Celestial Suite,Under The Magnolia Tree,10 Apr 2024 18:59
Masego,Masego,What You Wanna Try,10 Apr 2024 18:56
Big Wild,Superdream,City of Sound,10 Apr 2024 18:01
Sir Sly,Don't You Worry Honey,&Run,10 Apr 2024 17:39
NoMBe,They Might've Even Loved Me,Summer's Gone,10 Apr 2024 17:34
galdive,Bloom,Bloom,10 Apr 2024 05:53
Hippo Campus,Landmark,Buttercup,10 Apr 2024 05:49
BØRNS,Seeing Stars,Seeing Stars,10 Apr 2024 05:46
Electric Guest,Mondo,American Daydream,10 Apr 2024 05:43
ANIMA!,Blood,Blood,10 Apr 2024 05:39
Leon Chang,~ fleeting moments ~,frog summer,10 Apr 2024 05:38
Joji,BALLADS 1,ATTENTION,10 Apr 2024 05:36
Konrad OldMoney,Cyberpunk 2077: More Music from Night City Radio (Original Soundtrack),GR4VES (feat. Johnny Gr4ves),10 Apr 2024 05:33
Vince Staples,Big Fish Theory,Yeah Right,10 Apr 2024 05:30
dark cat,finite EP,BANANA STREET,10 Apr 2024 05:25
Porter Robinson,Nurture,Mother,10 Apr 2024 05:21
ODESZA,The Last Goodbye,The Last Goodbye,10 Apr 2024 04:51
Hermitude,Dark Night Sweet Light,The Buzz,10 Apr 2024 04:47
ODESZA,Trax 9 Future beats,Memories That You Call,10 Apr 2024 04:43
Big Wild,Superdream,6's to 9's,10 Apr 2024 04:40
Big Wild,Superdream,Alley-Oop,10 Apr 2024 04:36
The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Hypnotize - 2014 Remaster,10 Apr 2024 04:32
C418,Minecraft - Volume Beta,Aria Math,10 Apr 2024 04:27
Glass Animals,Dreamland (+ Bonus Levels 2.0),Tokyo Drifting,10 Apr 2024 04:24
Kid Cudi,Indicud,Just What I Am,10 Apr 2024 04:20
Glass Animals,Dreamland,Tokyo Drifting,10 Apr 2024 04:16
Kendrick Lamar,DAMN. COLLECTORS EDITION.,DNA.,10 Apr 2024 04:13
whereisalex,Shine,shine,10 Apr 2024 04:06
Valentine,Introspection,Free,10 Apr 2024 04:02
Bad Snacks,Neat Tape 2,Oh Shoot,10 Apr 2024 04:00
Sylvan Esso,Sylvan Esso,Coffee,09 Apr 2024 23:05
Meltt,Swim Slowly,Love Again,09 Apr 2024 23:04
Tommy James & The Shondells,Crimson & Clover,Crimson & Clover - Long Version,09 Apr 2024 19:41
Wiley from Atlanta,demo 001,Pink Skies (Demo),09 Apr 2024 19:37
Inzo,Overthinker,Overthinker,09 Apr 2024 19:32
Morgan Saint,17 Hero,You,09 Apr 2024 19:28
Goth Babe,Lola,Backwards,09 Apr 2024 19:23
The Blaze,Jungle,HAZE,09 Apr 2024 19:18
Meltt,Swim Slowly,Love Again,09 Apr 2024 19:12
Mild Orange,Getting Warmer,Getting Warmer,09 Apr 2024 18:59
Glass Animals,Creatures In Heaven,Creatures in Heaven,09 Apr 2024 18:55
PawPaw Rod,HIT EM WHERE IT HURTS,HIT EM WHERE IT HURTS,09 Apr 2024 18:27
Current Blue,Los Santos,Los Santos,09 Apr 2024 18:25
Mk.gee,Pronounced McGee,You,09 Apr 2024 18:20
Still Woozy,If This Isn’t Nice I Don’t Know What Is,Rocky,09 Apr 2024 17:47
